ID	geo_loc_v2	Country	State/Prov	iso_dat_v2	outbreak_id.v2	serovar	Plasmids	iso_source
2012K_0284	USA:MA	USA	MA	2012	J	enteritidis	AB461	human
2012K_0285	USA:MA	USA	MA	2012	J	enteritidis	AB461	human
2012K_0283	USA:MA	USA	MA	2012	J	enteritidis	AA281 + AB461 + AB461	human
2010K_0338	MUS	MUS		2009-02	otbk-15	enteritidis	AB461 + AA162	food
2010K_0348	MUS	MUS		2009-01	otbk-15	enteritidis	AB461 + AA162	food
2010K_0351	MUS	MUS		2009-01	otbk-15	enteritidis	AB461 + AA162	human
2010K_0358	MUS	MUS		2009-01	otbk-15	enteritidis	AB461 + AA162	food
2010K_0362	MUS	MUS		2009-02	otbk-15	enteritidis	AB461 + AA162	human
2010K_1946	USA:PA	USA	PA	2010	N	enteritidis	AB461	human
2010K_1947	USA:PA	USA	PA	2010	N	enteritidis	AB461	human
2010K_0666	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB461 + AB233	human
2010K_0667	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB461 + AB233	human
2010K_0668	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB461 + AB233	human
2010K_0669	USA:NJ	USA	NJ	2010-04	otbk-9	enteritidis	AB461 + AB233	human
2010K_0672	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB461 + AB233	human
2010K_0673	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB233 + AB461	human
2010K_0677	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB461 + AB233	human
2010K_0678	USA:NJ	USA	NJ	2010-04	otbk-9	enteritidis	AB233 + AB461	human
2010K_0675	USA:CT	USA	CT	2010-11	otbk-9	enteritidis	AB461 + AB233	human
2011K_1667	USA:NY	USA	NY	2011-10	G	enteritidis	AB461	stool
2011K_1668	USA:NY	USA	NY	2011	G	enteritidis	AB461	food
2011K_1845	USA:TX	USA	TX	2011	B	enteritidis	AB461	human
2011K_1846	USA:TX	USA	TX	2011	B	enteritidis	AB461	human
2009K_1740	USA:MD	USA	MD	2009	E	enteritidis	AB461	human
2009K_1742	USA:MD	USA	MD	2009	E	enteritidis	AB461	human
2012K_0627	USA:VT	USA	VT	2012	D	enteritidis	AB461	human
2012K_0628	USA:VT	USA	VT	2012	D	enteritidis	AB461	human
2012K_0644	USA:VT	USA	VT	2012	D	enteritidis	AB461	food
H9556	USA:CA	USA	CA	2003	C	enteritidis	AB461	human
H9558	USA:CA	USA	CA	2003	C	enteritidis	AB461	human
K2330	USA:OH	USA	OH	2005	I	enteritidis	AC741 + AB461	human
K2331	USA:OH	USA	OH	2005	I	enteritidis	AB461	human
K3308	USA:MN	USA	MN	2006	H	enteritidis	AB461	human
K3310	USA:MN	USA	MN	2006	H	enteritidis	AB461	human
2010K_2617	USA:WI	USA	WI	2011	K	enteritidis	AB461 + AB233	human
2011K_0019	USA:CA	USA	CA	2011	K	enteritidis	AB233 + AB461	human
2011K_0079	USA:OR	USA	OR	2011	K	enteritidis	AB233 + AB461	human
